frame,landmark_id,name,x,y,visibility,dx,dy,spd_sum
0,0,wrist,0.309215247631073,0.36292922496795654,0.0,0.0,0.0,0.0
0,8,index_tip,0.4172108471393585,0.5993520021438599,0.0,0.0,0.0,0.0
1,0,wrist,0.3105849027633667,0.37043261528015137,0.0,0.0013696551322937012,0.007503390312194824,0.013498783111572266
1,8,index_tip,0.4162727892398834,0.5956643223762512,0.0,-0.0009380578994750977,-0.0036876797676086426,0.013498783111572266
2,0,wrist,0.3096163272857666,0.36374223232269287,0.0,-0.0009685754776000977,-0.006690382957458496,0.04107716679573059
2,8,index_tip,0.40003424882888794,0.6128439903259277,0.0,-0.016238540410995483,0.017179667949676514,0.04107716679573059
3,0,wrist,0.3073089122772217,0.3613617420196533,0.0,-0.002307415008544922,-0.0023804903030395508,0.01203957200050354
3,8,index_tip,0.40095433592796326,0.606412410736084,0.0,0.0009200870990753174,-0.00643157958984375,0.01203957200050354
4,0,wrist,0.2741423547267914,0.3857421875,0.0,-0.0331665575504303,0.02438044548034668,0.3016379773616791
4,8,index_tip,0.44078901410102844,0.8106687068939209,0.0,0.039834678173065186,0.20425629615783691,0.3016379773616791
5,0,wrist,0.2928408980369568,0.37909209728240967,0.0,0.018698543310165405,-0.006650090217590332,0.06033456325531006
5,8,index_tip,0.4649677872657776,0.7998615503311157,0.0,0.024178773164749146,-0.010807156562805176,0.06033456325531006
6,0,wrist,0.2953721284866333,0.38039034605026245,0.0,0.0025312304496765137,0.0012982487678527832,0.01374363899230957
6,8,index_tip,0.47336286306381226,0.7983424663543701,0.0,0.008395075798034668,-0.0015190839767456055,0.01374363899230957
7,0,wrist,0.3191130757331848,0.3485006093978882,0.0,0.023740947246551514,-0.03188973665237427,0.12788435816764832
7,8,index_tip,0.44201478362083435,0.7574368715286255,0.0,-0.031348079442977905,-0.04090559482574463,0.12788435816764832
8,0,wrist,0.3171330988407135,0.35068291425704956,0.0,-0.0019799768924713135,0.002182304859161377,0.16709041595458984
8,8,index_tip,0.42293471097946167,0.613588809967041,0.0,-0.01908007264137268,-0.14384806156158447,0.16709041595458984
9,0,wrist,0.3257245421409607,0.3330742120742798,0.0,0.008591443300247192,-0.017608702182769775,0.09741485118865967
9,8,index_tip,0.4362727701663971,0.5557121634483337,0.0,0.013338059186935425,-0.057876646518707275,0.09741485118865967
10,0,wrist,0.33005857467651367,0.3325691819190979,0.0,0.0043340325355529785,-0.0005050301551818848,0.009347468614578247
10,8,index_tip,0.4332883358001709,0.5572361350059509,0.0,-0.0029844343662261963,0.0015239715576171875,0.009347468614578247
11,0,wrist,0.3370670676231384,0.3363070487976074,0.0,0.007008492946624756,0.0037378668785095215,0.2059146761894226
11,8,index_tip,0.4347380995750427,0.7509546875953674,0.0,0.0014497637748718262,0.1937185525894165,0.2059146761894226
12,0,wrist,0.3175840973854065,0.3709051012992859,0.0,-0.019482970237731934,0.03459805250167847,0.12283879518508911
12,8,index_tip,0.4124584197998047,0.7974327802658081,0.0,-0.022279679775238037,0.046478092670440674,0.12283879518508911
13,0,wrist,0.31893110275268555,0.3703565001487732,0.0,0.0013470053672790527,-0.0005486011505126953,0.014818280935287476
13,8,index_tip,0.4177616536617279,0.7898133397102356,0.0,0.005303233861923218,-0.00761944055557251,0.014818280935287476
14,0,wrist,0.32279354333877563,0.37374424934387207,0.0,0.003862440586090088,0.003387749195098877,0.01816830039024353
14,8,index_tip,0.4279831647872925,0.7891167402267456,0.0,0.010221511125564575,-0.0006965994834899902,0.01816830039024353
15,0,wrist,0.324400395154953,0.3752171993255615,0.0,0.0016068518161773682,0.0014729499816894531,0.0056983232498168945
15,8,index_tip,0.4255477488040924,0.7889336347579956,0.0,-0.0024354159832000732,-0.00018310546875,0.0056983232498168945
