frame,landmark_id,name,x,y,visibility,dx,dy,spd_sum
0,0,wrist,0.2861829698085785,0.4903242290019989,0.0,0.0,0.0,0.0
0,8,index_tip,0.4399360716342926,0.6482384204864502,0.0,0.0,0.0,0.0
1,0,wrist,0.23808085918426514,0.4149267077445984,0.0,-0.048102110624313354,-0.07539752125740051,0.14975634217262268
1,8,index_tip,0.44711464643478394,0.6673165559768677,0.0,0.007178574800491333,0.01907813549041748,0.14975634217262268
2,0,wrist,0.24084147810935974,0.3403162956237793,0.0,0.0027606189250946045,-0.07461041212081909,0.1237013041973114
2,8,index_tip,0.43015652894973755,0.696688711643219,0.0,-0.016958117485046387,0.02937215566635132,0.1237013041973114
3,0,wrist,0.25932204723358154,0.25156912207603455,0.0,0.018480569124221802,-0.08874717354774475,0.115969717502594
3,8,index_tip,0.43689751625061035,0.6986896991729736,0.0,0.006740987300872803,0.0020009875297546387,0.115969717502594
4,0,wrist,0.26577848196029663,0.21666443347930908,0.0,0.006456434726715088,-0.034904688596725464,0.07593432068824768
4,8,index_tip,0.44640833139419556,0.6736273169517517,0.0,0.009510815143585205,-0.025062382221221924,0.07593432068824768
5,0,wrist,0.2727995216846466,0.223703071475029,0.0,0.007021039724349976,0.00703863799571991,0.026239708065986633
5,8,index_tip,0.44545477628707886,0.6848537921905518,0.0,-0.0009535551071166992,0.011226475238800049,0.026239708065986633
6,0,wrist,0.27593421936035156,0.22706371545791626,0.0,0.003134697675704956,0.003360643982887268,0.013948008418083191
6,8,index_tip,0.4465869665145874,0.6911742687225342,0.0,0.001132190227508545,0.006320476531982422,0.013948008418083191
7,0,wrist,0.2671971321105957,0.24024440348148346,0.0,-0.00873708724975586,0.0131806880235672,0.03547026216983795
7,8,index_tip,0.4388565421104431,0.6969963312149048,0.0,-0.007730424404144287,0.0058220624923706055,0.03547026216983795
8,0,wrist,0.2562674283981323,0.22415469586849213,0.0,-0.010929703712463379,-0.016089707612991333,0.04864087700843811
8,8,index_tip,0.4364379644393921,0.6777934432029724,0.0,-0.0024185776710510254,-0.019202888011932373,0.04864087700843811
10,0,wrist,0.2542543411254883,0.3287959396839142,0.0,-0.002013087272644043,0.10464124381542206,0.6244338899850845
10,8,index_tip,0.38663730025291443,0.20981454849243164,0.0,-0.04980066418647766,-0.46797889471054077,0.6244338899850845
13,0,wrist,0.28787291049957275,0.6084568500518799,0.0,0.03361856937408447,0.2796609103679657,0.73235884308815
13,8,index_tip,0.33499494194984436,0.5772515535354614,0.0,-0.05164235830307007,0.3674370050430298,0.73235884308815
14,0,wrist,0.28656572103500366,0.510002613067627,0.0,-0.0013071894645690918,-0.09845423698425293,0.2036348283290863
14,8,index_tip,0.28708696365356445,0.521286129951477,0.0,-0.04790797829627991,-0.055965423583984375,0.2036348283290863
15,0,wrist,0.290477991104126,0.5152294635772705,0.0,0.0039122700691223145,0.005226850509643555,0.04233446717262268
15,8,index_tip,0.2981233596801758,0.49912717938423157,0.0,0.011036396026611328,-0.022158950567245483,0.04233446717262268
