frame,landmark_id,name,x,y,visibility,dx,dy,spd_sum
0,0,wrist,0.14009593427181244,0.5620814561843872,0.0,0.0,0.0,0.0
0,8,index_tip,0.5194171667098999,0.4073510766029358,0.0,0.0,0.0,0.0
1,0,wrist,0.14106321334838867,0.5633563995361328,0.0,0.0009672790765762329,0.0012749433517456055,0.004847213625907898
1,8,index_tip,0.5203086137771606,0.4090646207332611,0.0,0.0008914470672607422,0.0017135441303253174,0.004847213625907898
2,0,wrist,0.14888650178909302,0.5449526906013489,0.0,0.007823288440704346,-0.018403708934783936,0.052679866552352905
2,8,index_tip,0.5167278051376343,0.38619256019592285,0.0,-0.003580808639526367,-0.022872060537338257,0.052679866552352905
3,0,wrist,0.1398165225982666,0.5384939908981323,0.0,-0.009069979190826416,-0.006458699703216553,0.03526663780212402
3,8,index_tip,0.5103946924209595,0.3727877140045166,0.0,-0.006333112716674805,-0.01340484619140625,0.03526663780212402
4,0,wrist,0.09458355605602264,0.616189181804657,0.0,-0.04523296654224396,0.07769519090652466,0.23349614441394806
4,8,index_tip,0.4763071537017822,0.4492681622505188,0.0,-0.034087538719177246,0.0764804482460022,0.23349614441394806
5,0,wrist,0.06607569754123688,0.5740121006965637,0.0,-0.028507858514785767,-0.04217708110809326,0.16073748469352722
5,8,index_tip,0.44079989194869995,0.3947228789329529,0.0,-0.035507261753082275,-0.05454528331756592,0.16073748469352722
6,0,wrist,0.06684350967407227,0.5677523016929626,0.0,0.0007678121328353882,-0.006259799003601074,0.03303174674510956
6,8,index_tip,0.44289112091064453,0.37080997228622437,0.0,0.00209122896194458,-0.023912906646728516,0.03303174674510956
7,0,wrist,0.05743558704853058,0.5945327877998352,0.0,-0.009407922625541687,0.02678048610687256,0.08254222571849823
7,8,index_tip,0.4228072166442871,0.3970798850059509,0.0,-0.020083904266357422,0.026269912719726562,0.08254222571849823
8,0,wrist,0.006593883037567139,0.7023196220397949,0.0,-0.05084170401096344,0.10778683423995972,0.3235262483358383
8,8,index_tip,0.3782120645046234,0.5173824429512024,0.0,-0.044595152139663696,0.12030255794525146,0.3235262483358383
9,0,wrist,-0.013277783989906311,0.6783952116966248,0.0,-0.01987166702747345,-0.023924410343170166,0.0901855081319809
9,8,index_tip,0.362162709236145,0.4870423674583435,0.0,-0.016049355268478394,-0.030340075492858887,0.0901855081319809
10,0,wrist,-0.00217418372631073,0.6795286536216736,0.0,0.011103600263595581,0.0011334419250488281,0.023643553256988525
10,8,index_tip,0.3699227571487427,0.49068883061408997,0.0,0.007760047912597656,0.00364646315574646,0.023643553256988525
11,0,wrist,-0.0028055906295776367,0.6692498922348022,0.0,-0.0006314069032669067,-0.010278761386871338,0.01711486279964447
11,8,index_tip,0.3675457835197449,0.48686110973358154,0.0,-0.0023769736289978027,-0.003827720880508423,0.01711486279964447
12,0,wrist,0.0008178800344467163,0.6613277792930603,0.0,0.003623470664024353,-0.007922112941741943,0.02535216510295868
12,8,index_tip,0.3696037530899048,0.4751124978065491,0.0,0.002057969570159912,-0.01174861192703247,0.02535216510295868
13,0,wrist,0.0010276734828948975,0.6604176163673401,0.0,0.00020979344844818115,-0.0009101629257202148,0.006723746657371521
13,8,index_tip,0.3678221106529236,0.478934645652771,0.0,-0.0017816424369812012,0.003822147846221924,0.006723746657371521
14,0,wrist,0.0008116960525512695,0.6561384797096252,0.0,-0.00021597743034362793,-0.004279136657714844,0.017400622367858887
14,8,index_tip,0.3738178014755249,0.4720248281955719,0.0,0.005995690822601318,-0.006909817457199097,0.017400622367858887
15,0,wrist,0.0008058100938796997,0.642242968082428,0.0,-5.885958671569824e-06,-0.013895511627197266,0.021189913153648376
15,8,index_tip,0.3725226819515228,0.46603143215179443,0.0,-0.0012951195240020752,-0.005993396043777466,0.021189913153648376
